subject	label	region	voxel_count	volume_mm3	is_reference_label	raw_pet_mean	raw_suvr_mean	gm50_voxel_count	pvc_psf4_mean	suvr_psf4_mean	pvc_psf5_mean	suvr_psf5_mean	pvc_psf6_mean	suvr_psf6_mean	pvc_psf8_mean	suvr_psf8_mean	primary_gray_roi	flag_low_gm_support	flag_negative_nominal_mean	flag_nonfinite_nominal_mean
sub-01	51	rh-Putamen	233	5114.815738685611	0	21489.6015625	1.1771057844161987	141	27266.328125	1.4070284366607666	27839.56640625	1.4160858392715454	28365.439453125	1.419909954071045	29282.265625	1.414082646369934	1	0	0	0
sub-01	52	rh-Pallidum	72	1580.5439192504891	0	16206.6875	0.8877310156822205	2	39932.10546875	2.060622215270996	41233.16015625	2.0973634719848637	42194.2265625	2.1121482849121094	43620.8125	2.1065115928649902	1	1	0	0
sub-01	53	rh-Hippocampus	219	4807.487754386905	0	14542.2607421875	0.7965611815452576	194	14984.087890625	0.7732260823249817	15055.0029296875	0.76578688621521	15132.6826171875	0.7575080990791321	15301.52734375	0.7389327883720398	1	0	0	0
sub-01	54	rh-Amygdala	66	1448.831925979615	0	13810.212890625	0.7564627528190613	64	13943.2978515625	0.7195180654525757	13966.033203125	0.7103954553604126	13997.90234375	0.700703501701355	14085.767578125	0.6802219152450562	1	0	0	0
sub-01	58	rh-Accumbens-area	28	614.6559685974125	0	19510.837890625	1.0687178373336792	26	21322.40234375	1.1003031730651855	21626.5625	1.1000555753707886	21940.498046875	1.098292112350464	22590.1796875	1.090912103652954	1	0	0	0
sub-01	60	rh-VentralDC	210	4609.919764480594	0	13546.857421875	0.7420373558998108	36	13734.71875	0.7087547183036804	13717.4697265625	0.6977521777153015	13687.091796875	0.6851450800895691	13618.5419921875	0.6576588749885559	1	0	0	0
sub-01	1001	ctx-lh-bankssts	121	2656.1918642959613	0	19940.8984375	1.092274785041809	92	23025.15234375	1.1881701946258545	23426.6171875	1.1916168928146362	23848.439453125	1.193799376487732	24737.47265625	1.1946083307266235	1	0	0	0
sub-01	1002	ctx-lh-caudalanteriorcingulate	70	1536.6399214935311	0	17920.166015625	0.9815880656242372	63	19809.990234375	1.022257924079895	20075.81640625	1.0211750268936155	20339.57421875	1.0181533098220823	20871.626953125	1.0079208612442017	1	0	0	0
sub-01	1003	ctx-lh-caudalmiddlefrontal	263	5773.375705039982	0	22811.87109375	1.249534010887146	159	30774.51171875	1.5880615711212158	31894.830078125	1.6223609447479248	33040.66015625	1.65394127368927	35424.95703125	1.7107219696044922	1	0	0	0
sub-01	1005	ctx-lh-cuneus	86	1887.8719035491956	0	22174.162109375	1.214603304862976	59	28076.763671875	1.448849320411682	28599.865234375	1.454759120941162	29024.50390625	1.4529013633728027	29718.685546875	1.435158133506775	1	0	0	0
sub-01	1006	ctx-lh-entorhinal	54	1185.4079394378668	0	13917.5458984375	0.7623417973518372	42	13725.7412109375	0.7082913517951965	13779.7294921875	0.7009188532829285	13873.060546875	0.6944543123245239	14178.6455078125	0.6847071647644043	1	0	0	0
sub-01	1007	ctx-lh-fusiform	358	7858.815598495488	0	18585.267578125	1.0180193185806274	301	20353.375	1.0502982139587402	20631.6171875	1.049446702003479	20922.685546875	1.0473426580429075	21543.494140625	1.040366291999817	1	0	0	0
sub-01	1008	ctx-lh-inferiorparietal	453	9944.255491950997	0	18856.00390625	1.0328490734100342	301	24690.068359375	1.274085283279419	25632.40234375	1.3038161993026731	26584.24609375	1.3307477235794067	28514.849609375	1.3770233392715454	1	0	0	0
sub-01	1009	ctx-lh-inferiortemporal	517	11349.183420173653	0	20168.015625	1.1047152280807495	417	24013.51171875	1.2391729354858398	24854.265625	1.2642357349395752	25766.876953125	1.2898317575454712	27729.83203125	1.3391133546829224	1	0	0	0
sub-01	1010	ctx-lh-isthmuscingulate	95	2085.4398934555065	0	21214.24609375	1.1620231866836548	78	24539.505859375	1.2663156986236572	24998.732421875	1.2715842723846436	25437.828125	1.2733603715896606	26256.365234375	1.2679576873779297	1	0	0	0
sub-01	1011	ctx-lh-lateraloccipital	413	9066.175536811834	0	19005.513671875	1.0410385131835938	284	25590.59765625	1.320555567741394	26856.787109375	1.366095781326294	28085.908203125	1.405917406082153	30424.416015625	1.469238519668579	1	0	0	0
sub-01	1012	ctx-lh-lateralorbitofrontal	299	6563.647664665226	0	20956.845703125	1.1479239463806152	251	25313.876953125	1.3062758445739746	26213.48828125	1.333373785018921	27141.5546875	1.35864520072937	29048.732421875	1.4028048515319824	1	0	0	0
sub-01	1013	ctx-lh-lingual	161	3534.271819435122	0	21406.080078125	1.172531008720398	127	24689.078125	1.2740345001220703	25024.642578125	1.2729017734527588	25292.197265625	1.2660706043243408	25697.533203125	1.2409709692001345	1	0	0	0
sub-01	1014	ctx-lh-medialorbitofrontal	179	3929.407799247744	0	23446.408203125	1.28429114818573	132	28772.029296875	1.484727382659912	29535.40234375	1.502346158027649	30238.666015625	1.5136797428131104	31557.083984375	1.5239368677139282	1	0	0	0
sub-01	1015	ctx-lh-middletemporal	414	9088.127535690312	0	19279.205078125	1.0560301542282104	308	23704.943359375	1.2232497930526731	24590.138671875	1.250800609588623	25513.43359375	1.2771451473236084	27420.6953125	1.3241846561431885	1	0	0	0
sub-01	1016	ctx-lh-parahippocampal	66	1448.831925979615	0	15656.78515625	0.8576098084449768	43	16706.498046875	0.8621079325675964	16788.853515625	0.8539810180664062	16876.9453125	0.8448219299316406	17092.748046875	0.8254334330558777	1	0	0	0
sub-01	1017	ctx-lh-paracentral	126	2765.951858688356	0	19410.3984375	1.0632163286209106	94	23150.1171875	1.194619059562683	23648.451171875	1.202900767326355	24095.615234375	1.2061723470687866	24920.626953125	1.203452706336975	1	0	0	0
sub-01	1018	ctx-lh-parsopercularis	246	5400.191724105838	0	21541.869140625	1.1799688339233398	153	27719.39453125	1.4304081201553345	28558.1640625	1.4526379108428955	29414.392578125	1.4724183082580566	31175.107421875	1.5054906606674194	1	0	0	0
sub-01	1019	ctx-lh-parsorbitalis	101	2217.151886726381	0	21907.77734375	1.2000117301940918	82	27599.0390625	1.424197554588318	28836.146484375	1.4667776823043823	30210.662109375	1.5122778415679932	33281.4921875	1.6072108745574951	1	0	0	0
sub-01	1020	ctx-lh-parstriangularis	137	3007.4238463516253	0	22289.3203125	1.220910906791687	102	28550.453125	1.4732931852340698	29713.2109375	1.5113905668258667	30907.84375	1.5471771955490112	33353.3046875	1.610679030418396	1	0	0	0
sub-01	1021	ctx-lh-pericalcarine	60	1317.119932708741	0	25100.10546875	1.374873399734497	42	30560.990234375	1.5770434141159058	31190.25390625	1.5865217447280884	31774.0625	1.5905382633209229	32907.40234375	1.5891456604003906	1	0	0	0
sub-01	1022	ctx-lh-postcentral	346	7595.39161195374	0	18997.302734375	1.040588617324829	219	24150.4453125	1.2462389469146729	24976.744140625	1.270465612411499	25804.58984375	1.2917197942733765	27496.279296875	1.3278348445892334	1	0	0	0
sub-01	1023	ctx-lh-posteriorcingulate	119	2612.287866539003	0	18428.380859375	1.0094255208969116	85	21306.94921875	1.0995056629180908	21575.546875	1.0974605083465576	21825.455078125	1.0925331115722656	22316.330078125	1.0776876211166382	1	0	0	0
sub-01	1024	ctx-lh-precentral	482	10580.863459426886	0	21056.69921875	1.1533935070037842	351	26434.8828125	1.3641232252120972	27372.775390625	1.3923419713974	28317.62890625	1.417516827583313	30215.41796875	1.4591459035873413	1	0	0	0
sub-01	1025	ctx-lh-precuneus	322	7068.543638870244	0	21925.74609375	1.200995922088623	262	25645.123046875	1.3233691453933716	26087.328125	1.3269567489624023	26470.625	1.32506000995636	27147.3359375	1.3109837770462036	1	0	0	0
sub-01	1026	ctx-lh-rostralanteriorcingulate	82	1800.0639080352794	0	20038.263671875	1.0976080894470217	72	22056.33984375	1.138176441192627	22290.107421875	1.1338073015213013	22513.4296875	1.1269716024398804	22948.853515625	1.1082329750061035	1	0	0	0
